"","Enhancers","Gene_body_1","Gene_body_2","H1","HP1","Open_promoters","Pc","Low_signal","annot","annot_thr"
"CG11454",0,0,0,0,0,0.8075,0,0.1925,"Open_promoters","Open_promoters"
"CG42399",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG3709",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG3436",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG33635",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"spen",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"mRpL10",0,0,0.5525,0,0,0.4475,0,0,"Gene_body_2","Gene_body_2"
"Tbc1d15-17",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11617",0,0,0,0,0,0.281429,0,0.718571,"Low_signal","Open_promoters"
"lncRNA:CR44220",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR44222",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"lncRNA:CR44221",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"snoRNA:kis-a",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"CG13693",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"mir-965",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44218",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"kis",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Rpp30",0,0,0.818571,0,0,0.181429,0,0,"Gene_body_2","Gene_body_2"
"lncRNA:CR44219",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17075",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3345",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3645",0,0,0.634286,0,0,0.365714,0,0,"Gene_body_2","Gene_body_2"
"mbm",0,0,0,0,0,0.55,0,0.45,"Open_promoters","Open_promoters"
"CG11555",0,0,0,0,0,0.91,0,0.09,"Open_promoters","Open_promoters"
"smo",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG17078",0,0.905714,0,0,0,0.094286,0,0,"Gene_body_1","Gene_body_1"
"CG11601",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"asRNA:CR46262",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"asRNA:CR46263",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Amnionless",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3625",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11562",0,0,0,0,0,0.0475,0,0.9525,"Low_signal","Low_signal"
"U2af38",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Stip1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pi3K21B",0,0,0,0,0,0.2,0,0.8,"Low_signal","Low_signal"
"Plc21C",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43719",0.217143,0,0,0,0,0,0,0.782857,"Low_signal","Low_signal"
"CG11912",0,0,0,1,0,0,0,0,"H1","H1"
"CG11911",0,0,0,1,0,0,0,0,"H1","H1"
"CG33127",0,0,0,1,0,0,0,0,"H1","H1"
"CG43755",0,0,0,1,0,0,0,0,"H1","H1"
"CG31921",0.378571,0,0,0,0,0,0,0.621429,"Low_signal","Enhancers"
"asRNA:CR45367",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"asRNA:CR45366",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Ent1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"al",0,0,0,0,0,0,1,0,"Pc","Pc"
"lncRNA:CR43718",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4213",0,0,0,0.86,0,0,0,0.14,"H1","H1"
"Polr1B",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"AP-2alpha",0,0,0,0,0,0.538571,0,0.461429,"Open_promoters","Open_promoters"
"ebi",0,0,0,0,0,0.6675,0,0.3325,"Open_promoters","Open_promoters"
"CG13690",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"RpLP1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG11885",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG13692",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"BBS8",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"ex",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43717",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"shv",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"crq",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CR43080",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4133",0,0,0,0,0,0.5775,0,0.4225,"Open_promoters","Open_promoters"
"CG4297",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"MED15",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"ush",0,0.55,0.45,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"cbt",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR46258",0.3375,0,0,0,0,0,0,0.6625,"Low_signal","Enhancers"
"lncRNA:CR46259",0.234286,0,0,0,0,0,0.765714,0,"Pc","Pc"
"lwr",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Spp",0,0,0,0,0,0.067143,0,0.932857,"Low_signal","Low_signal"
"nAChRbeta3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Ets21C",0.252857,0,0,0,0,0,0,0.747143,"Low_signal","Enhancers"
"Tspo",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"rempA",0,0,0,1,0,0,0,0,"H1","H1"
"CG11835",0,0,0,0,0,0.884286,0,0.115714,"Open_promoters","Open_promoters"
"CG2794",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Nle",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Sf3b1",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"cold",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Ipk2",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Ptth",0,0,0,0,0,0,1,0,"Pc","Pc"
"Pph13",0,0,0,0,0,0,1,0,"Pc","Pc"
"lncRNA:CR46148",0,0,0,0,0,0,1,0,"Pc","Pc"
"Gsc",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG13689",0,0,0,0,0,0.5325,0,0.4675,"Open_promoters","Open_promoters"
"lncRNA:CR43648",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43649",0,0,0,0.048571,0,0,0,0.951429,"Low_signal","Low_signal"
"lectin-21Cb",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR44797",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44798",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lectin-21Ca",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG2839",0,0,0,0.63,0,0,0,0.37,"H1","H1"
"lncRNA:CR45369",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44988",0,0,0,1,0,0,0,0,"H1","H1"
"ds",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR46260",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Hsp60B",0,0,0,1,0,0,0,0,"H1","H1"
"Eaat2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"GABA-B-R3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44614",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG12506",0,0,0,1,0,0,0,0,"H1","H1"
"CG13946",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG13947",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr21a",0,0,0,1,0,0,0,0,"H1","H1"
"CG3544",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pkg21D",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45259",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nnf1b",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Dbp21E2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Pex12",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Saf6",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG15880",0,0.928571,0.071429,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"PGAP2",0,0,0.417143,0,0,0,0,0.582857,"Low_signal","Gene_body_2"
"Clp",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG3662",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG3862",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"dock",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"lncRNA:CR44060",0,0,0,0,0,0.995,0,0.005,"Open_promoters","Open_promoters"
"drongo",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"kraken",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4291",0,0,0,0,0,0.528571,0,0.471429,"Open_promoters","Open_promoters"
"CG13949",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45345",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"mir-375",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG13950",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"snoRNA:Me28S-U1230",0,0,0,1,0,0,0,0,"H1","H1"
"aru",0,0,0.428571,0,0,0.077143,0,0.494286,"Low_signal","Gene_body_2"
"dbe",0,0,0,0,0,0.49,0,0.51,"Low_signal","Open_promoters"
"PNUTS",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"ninaA",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG15824",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45348",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Lsp1beta",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"snRNA:U1:21D",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"scaRNA:MeU1:95C-A24",0.74,0,0,0,0,0,0,0.26,"Enhancers","Enhancers"
"lncRNA:CR45261",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44061",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"GluRIIC",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4341",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44801",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR46486",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4375",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4415",0,0,0,1,0,0,0,0,"H1","H1"
"IA-2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"S",0,0,0,0,0,0.592857,0,0.407143,"Open_promoters","Open_promoters"
"ast",0,0,0,0,0,0.37,0,0.63,"Low_signal","Open_promoters"
"Atg4a",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4629",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"PolrMT",0,0,0,0,0,0.038571,0,0.961429,"Low_signal","Low_signal"
"CG14339",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14340",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"Pino",0,0,0,0,0,0.361429,0,0.638571,"Low_signal","Open_promoters"
"TBC1D23",0,0,0,0,0,0.54,0,0.46,"Open_promoters","Open_promoters"
"Iris",0,0,0,0.145714,0,0,0,0.854286,"Low_signal","Low_signal"
"CG4577",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45717",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"MFS3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"l(2)10685",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Vps29",0,0,0,0,0,0.915,0,0.085,"Open_promoters","Open_promoters"
"Tfb4",0,0,0,0,0,0.967143,0,0.032857,"Open_promoters","Open_promoters"
"capt",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Tango14",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"asRNA:CR43767",0,0,0.507143,0,0,0.492857,0,0,"Gene_body_2","Gene_body_2"
"CG5080",0.448571,0,0,0,0,0,0,0.551429,"Low_signal","Enhancers"
"IntS14",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14341",0,0,0,0,0,0.515,0,0.485,"Open_promoters","Open_promoters"
"CG31922",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Plap",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Charon",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4887",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG4896",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Tgt",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG5126",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG5001",0,0,0.3575,0,0,0,0,0.6425,"Low_signal","Gene_body_2"
"CG5139",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG43348",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG43349",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG5011",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14342",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR45346",0.295714,0,0,0,0,0,0,0.704286,"Low_signal","Enhancers"
"lncRNA:CR43263",0,0,0,0.407143,0,0,0,0.592857,"Low_signal","H1"
"CG42329",0,0,0,1,0,0,0,0,"H1","H1"
"CG5397",0,0,0,1,0,0,0,0,"H1","H1"
"robo3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"a5",0,0,0,1,0,0,0,0,"H1","H1"
"CG5440",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG33923",0,0,0,1,0,0,0,0,"H1","H1"
"CG33922",0,0,0,0.958571,0,0,0,0.041429,"H1","H1"
"Cdlc2",0,0,0,1,0,0,0,0,"H1","H1"
"lncRNA:CR45005",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45006",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG5556",0,0,0,1,0,0,0,0,"H1","H1"
"CG5561",0,0,0,0.415714,0,0,0,0.584286,"Low_signal","H1"
"CG31924",0,0,0,0.027143,0,0,0,0.972857,"Low_signal","Low_signal"
"CG5565",0,0,0,1,0,0,0,0,"H1","H1"
"CG31659",0,0,0,0.128571,0,0,0,0.871429,"Low_signal","Low_signal"
"NLaz",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG14346",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR44897",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"lncRNA:CR44898",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"robo2",0,0,0,0,0,0.352857,0,0.647143,"Low_signal","Open_promoters"
"CG43401",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG43402",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"CG31928",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG33128",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31926",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31661",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG18131",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"asRNA:CR44064",0,1,0,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"CG7420",0,0,0,0,0,0.422857,0,0.577143,"Low_signal","Open_promoters"
"CG18132",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"halo",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Or22a",0,0,0,1,0,0,0,0,"H1","H1"
"Or22b",0,0,0,1,0,0,0,0,"H1","H1"
"haf",0.0725,0,0,0,0,0,0,0.9275,"Low_signal","Low_signal"
"nis",0,0,0,1,0,0,0,0,"H1","H1"
"Rab3GAP1",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG14352",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"RFeSP",0,0,0,0,0,0.485714,0,0.514286,"Low_signal","Open_promoters"
"lncRNA:CR44603",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45695",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"chinmo",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"cpb",0,0,0,0,0,0.255,0,0.745,"Low_signal","Open_promoters"
"asRNA:CR44976",0,0.87,0.13,0,0,0,0,0,"Gene_body_1","Gene_body_1"
"mRpL48",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG17660",0,0,0,0,0,0.97,0,0.03,"Open_promoters","Open_promoters"
"frtz",0,0,0.93,0,0,0.07,0,0,"Gene_body_2","Gene_body_2"
"Rim2",0.268571,0,0,0,0,0.302857,0,0.428571,"Low_signal","Open_promoters"
"Rrp40",0.42,0,0,0,0,0,0,0.58,"Low_signal","Enhancers"
"Eno",0,0,0.908571,0,0,0.091429,0,0,"Gene_body_2","Gene_body_2"
"CG31937",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"CG17652",0,0,0.428571,0,0,0.062857,0,0.508571,"Low_signal","Gene_body_2"
"CG17646",0,0,0.69,0,0,0,0,0.31,"Gene_body_2","Gene_body_2"
"CG17712",0,0,0,0,0,0.111429,0,0.888571,"Low_signal","Low_signal"
"CG17648",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr22f",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17650",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Gr22e",0,0,0,1,0,0,0,0,"H1","H1"
"Gr22d",0,0,0,1,0,0,0,0,"H1","H1"
"Gr22c",0,0,0,0.604286,0,0,0,0.395714,"H1","H1"
"Gr22b",0,0,0,1,0,0,0,0,"H1","H1"
"Gr22a",0,0,0,1,0,0,0,0,"H1","H1"
"CG31933",0,0,0,1,0,0,0,0,"H1","H1"
"CG31664",0,0,0,0.571429,0,0,0,0.428571,"H1","H1"
"mir-2280",0,0,0,1,0,0,0,0,"H1","H1"
"c-cup",0,0,0,0.907143,0,0,0,0.092857,"H1","H1"
"wry",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44073",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44074",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG7295",0,0,0,0.0075,0,0,0,0.9925,"Low_signal","Low_signal"
"lncRNA:CR44075",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG31663",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15358",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Wdr62",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gly-GCC-1-1",0,0,0,0.915714,0,0,0.084286,0,"H1","H1"
"CG15357",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG33673",0,0,0,0,0,0,1,0,"Pc","Pc"
"tRNA:Arg-TCT-2-1",0,0,0,0,0,0,1,0,"Pc","Pc"
"erm",0,0,0,0,0,0,1,0,"Pc","Pc"
"Der-1",0,0,0,0,0,0,1,0,"Pc","Pc"
"CG15356",0,0,0,0,0,0.921429,0,0.078571,"Open_promoters","Open_promoters"
"CG15362",0,0,0,0,0,0.81,0,0.19,"Open_promoters","Open_promoters"
"CG7289",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Got2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Npc2a",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR42874",0,0,0,1,0,0,0,0,"H1","H1"
"Obp22a",0,0,0,0.914286,0,0,0,0.085714,"H1","H1"
"asRNA:CR43464",0,0,0,0.145,0,0,0,0.855,"Low_signal","Low_signal"
"CG33543",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR45712",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15353",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Nplp4",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4238",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-4",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-3-1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gln-CTG-2-5",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"snoRNA:Or-CD14",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tRNA:Gly-GCC-1-2",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG42296",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lectin-22C",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Su(dx)",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45298",0,0,0.312857,0,0,0.687143,0,0,"Open_promoters","Open_promoters"
"Kebab",0,0,0.515,0,0,0.485,0,0,"Gene_body_2","Gene_body_2"
"Or22c",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG12674",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44808",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44055",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"dpr3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG4259",0,0,0,1,0,0,0,0,"H1","H1"
"GlyP",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"tho2",0,0,0,0,0,0.447143,0,0.552857,"Low_signal","Open_promoters"
"CG11723",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"TBCD",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"AIF",0,0,0.365,0,0,0.635,0,0,"Open_promoters","Open_promoters"
"CG15382",0,0,1,0,0,0,0,0,"Gene_body_2","Gene_body_2"
"aop",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR43751",1,0,0,0,0,0,0,0,"Enhancers","Enhancers"
"tRNA:Arg-TCT-3-1",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR44066",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR45290",0.707143,0,0,0,0,0,0,0.292857,"Enhancers","Enhancers"
"asRNA:CR44065",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG10874",0,0,0,0,0,0.305714,0,0.694286,"Low_signal","Open_promoters"
"COX7AL2",0.125714,0,0,0,0,0,0,0.874286,"Low_signal","Low_signal"
"CG31668",0,0,0,1,0,0,0,0,"H1","H1"
"CG33124",0,0,0,1,0,0,0,0,"H1","H1"
"CG15385",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG34174",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"Uch",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"daed",0,0,0,0,0,0.158571,0,0.841429,"Low_signal","Low_signal"
"mio",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG15386",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"CG42371",0,0,0,0,0,1,0,0,"Open_promoters","Open_promoters"
"papi",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"sau",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG15387",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"asRNA:CR44114",0,0,0,0,0,0.565714,0,0.434286,"Open_promoters","Open_promoters"
"asRNA:CR44115",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Sec24CD",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Tengl3",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"Tengl2",0,0,0,0.12,0,0,0,0.88,"Low_signal","Low_signal"
"Tengl1",0,0,0,0.438571,0,0,0,0.561429,"Low_signal","H1"
"CG4267",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"lncRNA:CR42859",0,0,0,0.325,0,0,0,0.675,"Low_signal","H1"
"Ser12",0,0,0,0,0,0,0,1,"Low_signal","Low_signal"
"CG17239",0,0,0,1,0,0,0,0,"H1","H1"
"CG17234",0,0,0,1,0,0,0,0,"H1","H1"
"Send1",0,0,0,0.785714,0,0,0,0.214286,"H1","H1"
"lncRNA:CR44787",0,0,0,0.428571,0,0,0,0.571429,"Low_signal","H1"
